Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Event.Year
20080201X00130,Accident,2008-01-26,"Los Angeles, CA",United States,Fatal,Destroyed,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Personal,"JJ Helicopters, Inc.",1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain an adequate obstacle clearance altitude from transmission wires during cruise flight. Contributing to the accident was the dark night conditions.,2008.0
20080226X00236,Accident,2008-01-30,"Brawley, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,OH-58A,No,1.0,Turbo Shaft,137,,Aerial Application,FARM AVIATION INC,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain clearance from obstacles.  A factor in the accident was the dark night conditions.,2008.0
20080226X00235,Accident,2008-02-03,"Bullhead City, AZ",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44 II,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The pilot's misjudged landing flare, inadequate bounced landing recovery, and failure to maintain directional control during a bounced landing that resulted in the tail rotor blades colliding with a hangar. Contributing to the accident was the burned out landing lights.",2008.0
20080222X00227,Accident,2008-02-06,"S. Padre Island, TX",United States,Fatal,Substantial,Helicopter,EUROCOPTER FRANCE,AS350B2,No,1.0,Turbo Shaft,091,,Positioning,"Metro Aviation, Inc.",3.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain aircraft control resulting in the helicopter impacting the water.  Factors contributing to the accident were the pilot's inadvertent flight into instrument meteorological conditions, the low ceiling, dark night conditions, and the pilot's lack of recent instrument flying experience.",2008.0
20080213X00181,Accident,2008-02-08,"Hilo, HI",United States,Non-Fatal,Substantial,Helicopter,MCDONNELL DOUGLAS,369E,No,1.0,Turbo Shaft,135,NSCH,,Tropical Helicopters,0.0,5.0,0.0,0.0,VMC,,A leak in the fuel filter pressure differential switch that resulted in a loss of engine power. Contributing to the accident was uneven terrain that hindered a successful emergency landing.,2008.0
20080213X00185,Accident,2008-02-08,"Valentine, TX",United States,Non-Fatal,Substantial,Helicopter,HUGHES,OH-6,No,1.0,Turbo Shaft,091,,Public Aircraft - Federal,,0.0,1.0,0.0,0.0,VMC,,The contract mechanic's failure to properly secure the castellated nut that attached the governor lever control rod to the idler bell crank.  Contributing to the accident was the lack of maintenance oversight by the operator.,2008.0
20080306X00275,Accident,2008-02-08,"Houston, TX",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22 BETA,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,"The student pilot's improper use of the collective and the flight instructor's delayed remedial action, which resulted in a dynamic rollover.",2008.0
20080319X00331,Accident,2008-02-08,"Totes Gebirge, Austria",Austria,Fatal,Destroyed,Helicopter,BELL,206B,No,,,NUSN,,Instructional,Aerial Helecopter Leopold Reidinger,2.0,0.0,0.0,0.0,VMC,,,2008.0
20081003X17550,Accident,2008-02-12,"Foasi, PNG, Indonesia",Indonesia,Non-Fatal,Substantial,Helicopter,BELL,206L1,No,1.0,Turbo Shaft,NUSC,NSCH,,Islands Nationair,0.0,0.0,2.0,0.0,,,The cause will be determined by the Indonesian National Transportation Safety Committee.,2008.0
20080430X00566,Accident,2008-02-29,"Las Vegas, NV",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Instructional,Airwork LLC,0.0,1.0,0.0,1.0,VMC,,"The certificated flight instructor's delayed remedial action, and inadequate supervision while landing on a pinnacle.  Factors contributing to the accident were the lack of suitable terrain for a forced landing, and the student's failure to maintain rotor rpm.",2008.0
20080812X01232,Accident,2008-03-02,"Nizhnevartovsk, Russia",Russia,Fatal,Destroyed,Helicopter,ROBINSON,R-44 II,No,,,NUSN,,Personal,,2.0,0.0,0.0,0.0,,,,2008.0
20080314X00314,Accident,2008-03-04,"Nikolai, AK",United States,Non-Fatal,Substantial,Helicopter,BELL,206L,No,1.0,Turbo Shaft,091,,Other Work Use,John Oney,0.0,2.0,0.0,0.0,VMC,,"The pilot's inadequate compensation for wind conditions, and an inadvertent  loss of tail rotor effectiveness while maneuvering. A factor contributing to the accident was wind gusts.",2008.0
20080318X00322,Accident,2008-03-04,"Linden, NJ",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER FRANCE,AS350B1,No,1.0,Turbo Shaft,091,,Flight Test,Liberty Helicopters,0.0,0.0,0.0,2.0,VMC,,The pilot's improper preflight preparation and his failure to maintain control of the helicopter.,2008.0
20080418X00518,Accident,2008-03-04,"Meraux, LA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R-22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to ensure calculate weight and balance prior to flight.  A contributing factor was the prevailing gusty winds.,2008.0
20080411X00454,Accident,2008-03-08,"Westport, OK",United States,Non-Fatal,Substantial,Helicopter,WILLEY,ROTORWAY EXEC 90,Yes,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,An unsuccessful precautionary landing due to an electrical system malfunction.,2008.0
20080414X00472,Accident,2008-03-09,"Cartersville, GA",United States,Non-Fatal,Substantial,Helicopter,ROTORWAY,162F,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The owner/builder's improper installation of the foot pedal scissor beam, which resulted in its failure during hover flight.",2008.0
20080409X00442,Accident,2008-03-09,"Belmont, WV",United States,Non-Fatal,Substantial,Helicopter,SIKORSKY,S-58HT,No,2.0,Turbo Shaft,133,,External Load,St. Louis Helicopters LLC,0.0,0.0,1.0,0.0,VMC,,The fatigue failure of a tail rotor blade during an external load lift.,2008.0
20080403X00418,Accident,2008-03-11,"Oxnard, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,137,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain clearance with terrain during an aerial application.,2008.0
20080409X00443,Accident,2008-03-11,"Santa Cruz, Peru",Peru,Fatal,Destroyed,Helicopter,BELL,412EP,No,,,NUSC,NSCH,,Helinka S.A.C.,10.0,0.0,0.0,0.0,IMC,,,2008.0
20080321X00357,Accident,2008-03-13,"Wilmington, NC",United States,Fatal,Substantial,Helicopter,ROBINSON,R22 BETA II,No,1.0,Reciprocating,091,,Personal,Maintenance Services LLC,1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain proper rotor rpm after a partial loss of engine power.,2008.0
20080425X00547,Accident,2008-03-15,"Horseshoe Bay, TX",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22 BETA,No,1.0,Reciprocating,091,,Instructional,Kent Leighton,0.0,1.0,0.0,1.0,VMC,,The certified flight instructor's delay in taking remedial action which resulted in an unsuccessful autorotation.,2008.0
20080414X00475,Accident,2008-03-17,"Montgomery, NY",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of control during takeoff.,2008.0
20080319X00335,Accident,2008-03-18,"Las Vegas, NM",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22 BETA,No,1.0,Reciprocating,091,,Instructional,Premier Helicopters,0.0,0.0,0.0,2.0,VMC,,"An inadvertent settling with power, and the instructor's failure to maintain control of the helicopter, resulting in a hard landing. Contributing to the accident was the downdraft.",2008.0
20080425X00553,Accident,2008-03-21,"Franklin Furnac, OH",United States,Non-Fatal,Substantial,Helicopter,HUGHES,269A,No,1.0,Reciprocating,091,,Personal,Left Seat Pilot,0.0,0.0,0.0,2.0,VMC,,The fuel exhaustion during cruise flight and the unsuitable terrain encountered by the pilot-in-command. A contributing factor was the trees.,2008.0
20080410X00451,Accident,2008-03-26,"Waverly, OH",United States,Non-Fatal,Substantial,Helicopter,MCDONNELL DOUGLAS,600N,No,1.0,Turbo Shaft,091,,Executive/corporate,,0.0,2.0,0.0,0.0,VMC,,The pilot's improper flare.,2008.0
20080415X00482,Accident,2008-04-04,"La Porte, TX",United States,Non-Fatal,Substantial,Helicopter,HILLER,UH-12E,No,1.0,Reciprocating,091,,Flight Test,Paul Legris,0.0,1.0,0.0,1.0,VMC,,"The loss of tail rotor effectiveness. Contributing factors were the sudden windshift to a tailwind, and the pilot initiating a hovering turn in ground effect.",2008.0
20080407X00433,Accident,2008-04-05,"Topeka, KS",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Public Aircraft - Local,Topeka Police Department,0.0,0.0,0.0,3.0,VMC,,"A malfunctioning magneto, resulting in a high engine rpm and low rotor warning indications.  A contributing factor was the impact with a light pole, during the precautionary landing.",2008.0
20080410X00447,Accident,2008-04-05,"Pahrump, NV",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Personal,Kiel Jacob Yost,0.0,0.0,0.0,3.0,VMC,,"The loss of the engine to transmission drive train continuity while on approach for undetermined reasons.  Contributing to the accident were lack of suitable terrain for a run-on landing, and cars on the race track.",2008.0
20080515X00677,Accident,2008-04-06,"Batavia, OH",United States,Non-Fatal,Substantial,Helicopter,SCHULTZ,MINI 500,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The failure of the helicopter's centrifugal clutch during hover which led to the pilot's inability to maintain control of the craft and its subsequent impact with the ground.,2008.0
20080613X00860,Accident,2008-04-09,"LAKELAND, FL",United States,Non-Fatal,Substantial,Helicopter,VIC TATELMAN,BABY BELLE,Yes,1.0,Reciprocating,091,,Air Race show,,0.0,0.0,0.0,1.0,VMC,,The failure of the tailrotor driveshaft hanger bearing and jamming of the tailrotor.,2008.0
20080417X00508,Accident,2008-04-11,"Denio, NV",United States,Non-Fatal,Substantial,Helicopter,BELL,47G-3B-1,No,1.0,Reciprocating,091,,Aerial Observation,"Helicopter Roundup Service, LLC",0.0,0.0,0.0,2.0,VMC,,The pilot's inadvertent hard landing induced by a perceived loss of power and a main transmission anomaly while maneuvering at low altitude.,2008.0
20080421X00524,Accident,2008-04-15,"Chickaloon, AK",United States,Fatal,Substantial,Helicopter,EUROCOPTER,AS 350 B2,No,1.0,Turbo Shaft,135,NSCH,,ERA HELICOPTERS LLC,4.0,0.0,1.0,0.0,VMC,,"An in-flight overtorque of the engine-to-transmission driveshaft resulting in disconnection of the main transmission from the engine. The overtorque likely occurred due to an in-flight main rotor blade contact with snow-covered terrain, precluding significant main rotor blade damage and ground scarring. Contributing to the severity of the surviving occupant's injuries was the helicopter operator's failure to properly monitor their satellite flight-following system and to immediately institute a search once the system reported that the helicopter was overdue.",2008.0
20080425X00552,Accident,2008-04-18,"Logan, UT",United States,Non-Fatal,Substantial,Helicopter,HUGHES,TH-55,No,1.0,Reciprocating,091,,Public Aircraft - State,,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate compensation for the wind conditions and failure to maintain control of the helicopter while hovering. Contributing to the accident were the wind gusts and the pilot's lack of recent experience in helicopters.,2008.0
20080501X00575,Accident,2008-04-18,"Mosby, MO",United States,Non-Fatal,Destroyed,Helicopter,ENSTROM,F28C,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,VMC,,"A loss of engine power for reasons undetermined, and the pilot's decision to discontinue the autorotation when he thought engine power had been restored. Contributing to the accident were the low altitude and excessive airspeed.",2008.0
20081003X17823,Accident,2008-04-22,"Athens, Greece",Greece,Non-Fatal,Destroyed,Helicopter,SCHWEIZER,269C,No,,,NUSN,,Unknown,"Olympic Aviation, SA",0.0,2.0,0.0,0.0,VMC,,,2008.0
20080516X00686,Accident,2008-04-23,"Killeen, TX",United States,Non-Fatal,Substantial,Helicopter,HUGHES,269A,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain main rotor RPM and a safe rate of descent during the autorotation.  A contributing factor was the gusty winds.,2008.0
20081003X16305,Accident,2008-04-26,"Germiston, South Africa",South Africa,Fatal,Destroyed,Helicopter,ROBINSON,R-44,No,,,NUSN,,Aerial Observation,National Airways Corporation,2.0,0.0,0.0,0.0,,,,2008.0
20080508X00627,Accident,2008-04-27,"Lincoln, NE",United States,Non-Fatal,Substantial,Helicopter,HUGHES,269A,No,1.0,Reciprocating,091,,Personal,Chandra Clanton,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to properly execute a steep approach, which resulted in a tail strike and a loss of control.",2008.0
20080528X00741,Accident,2008-04-27,"Murietta, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,091,,Instructional,Go Heli LLC,0.0,0.0,0.0,2.0,VMC,,The flight instructor's inadequate supervision and delayed remedial action. A contributing factor to the accident was the dual student's improper flare.,2008.0
20080505X00592,Accident,2008-04-28,"Bartlett, TX",United States,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Personal,,1.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain tail rotor clearance from terrain (embankment) during takeoff.,2008.0
20080521X00710,Accident,2008-04-30,"Paraty, Brazil",Brazil,Fatal,Destroyed,Helicopter,AGUSTA/WESTLAND,A109S,No,,,NUSC,NSCH,,COSAN S/A INDÚSTRIA E COMÉRCIO,2.0,0.0,0.0,0.0,,,,2008.0
20080529X00755,Accident,2008-05-02,"Prescott, AZ",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22 BETA II,No,1.0,Reciprocating,091,,Instructional,,0.0,1.0,1.0,0.0,VMC,,The instructor's inadequate supervision and delayed remedial action that resulted in ground contact and a rollover.,2008.0
20080515X00675,Accident,2008-05-09,"Muanda, Central Africa",Central Africa,Fatal,Destroyed,Helicopter,BELL,206 L-1,No,,,NUSN,,Positioning,Petroleum Helicopters Inc.,1.0,0.0,0.0,0.0,VMC,,,2008.0
20080516X00685,Accident,2008-05-09,"San Antonio, TX",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269D,No,1.0,Turbo Shaft,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to compensate for the excessive rate of descent on final approach.  A contributing factor was the reported down draft.,2008.0
20080515X00684,Accident,2008-05-10,"Austin, TX",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R22 MARINE,No,1.0,Reciprocating,091,,Business,Boat Pix,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain rotor RPM while maneuvering at a low altitude, which resulted in a loss of control.",2008.0
20080520X00702,Accident,2008-05-11,"La Crosse, WI",United States,Fatal,Destroyed,Helicopter,EUROCOPTER DEUTSCHLAND GMBH,EC 135 T2+,No,2.0,Turbo Shaft,091,,Positioning,Air Methods Corp,3.0,0.0,0.0,0.0,VMC,,"The pilots failure to maintain clearance from trees along the top of a ridgeline due to inadequate preflight planning, insufficient altitude, and the lack of a helicopter terrain awareness and warning system. 

Member Sumwalt did not approve this brief and probable cause. Member Sumwalt filed a dissenting statement that can be found in the public docket for this accident.",2008.0
20080523X00718,Accident,2008-05-14,"Kekaha, HI",United States,Non-Fatal,Substantial,Helicopter,HUGHES,369FF,No,1.0,Turbo Shaft,133,,External Load,Smoky Mountain Helicopters,0.0,0.0,0.0,1.0,VMC,,A loss of engine power for undetermined reasons.,2008.0
20080609X00811,Accident,2008-05-15,"Lake Wales, FL",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44 II,No,1.0,Reciprocating,091,,Public Aircraft - Local,,0.0,2.0,0.0,0.0,VMC,,The pilot's improper recovery from a practice autorotation.,2008.0
20080527X00729,Accident,2008-05-16,"Comstock, MI",United States,Fatal,Destroyed,Helicopter,FAIRCHILD HILLER,FH-1100,No,1.0,Turbo Shaft,091,,Personal,Larry D. Boven,1.0,0.0,0.0,0.0,VMC,,A loss of engine power in flight due to fuel exhaustion resulting from the pilot's inadequate fuel management. Contributing to the accident was the unsuitable terrain for a forced landing. ,2008.0
20080619X00882,Accident,2008-05-17,"Lafayette, CO",United States,Non-Fatal,Substantial,Helicopter,DOWELL VAUGHN,EXEC 90,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilot's improper in-flight decision to continue flight after experiencing a loss of rotor RPM.  Contributing to the accident were the pilot's low level of experience in helicopters and the leaking oil from the engine oil filler cap.,2008.0
20080808X01185,Accident,2008-05-21,"Hiram, GA",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER FRANCE,AS350 B2,No,1.0,Turbo Shaft,091,,Positioning,OMNIFLIGHT HELICOPTERS INC,0.0,0.0,0.0,3.0,VMC,,The failure of the starflex arm during engine run-up due to inadequate inspection by maintenance personnel.,2008.0
20080529X00746,Accident,2008-05-24,"Avalon, CA",United States,Fatal,Destroyed,Helicopter,AEROSPATIALE,AS-350-D,No,1.0,Turbo Shaft,135,NSCH,,Island Express Helicopters,3.0,0.0,3.0,0.0,VMC,,Loss of engine power during approach for landing due to a fatigue fracture of a power turbine blade.,2008.0
20080625X00914,Accident,2008-05-24,"Gonzales, TX",United States,Non-Fatal,Destroyed,Helicopter,ROTORWAY,162F,Yes,1.0,Reciprocating,091,,Personal,Jonathan Houser,0.0,1.0,1.0,0.0,VMC,,failure of the main rotor drive belt for undetermined reasons.,2008.0
20080529X00752,Accident,2008-05-26,"Sunrise Beach, MO",United States,Fatal,Substantial,Helicopter,MCDONNELL DOUGLAS HELICOPTER C,MD 500E,No,1.0,Turbo Shaft,091,,Personal,,1.0,0.0,1.0,3.0,VMC,,The loss of tail rotor effectiveness and the pilot's failure to regain aircraft control. Contributing to the accident was the pilot's decision to fly in known adverse weather conditions and the gusty winds generated from convective outflow. Contributing to the severity of the injuries was the pilot's failure to provide a safety briefing to his passengers in accordance with Federal Aviation Regulations.,2008.0
20080711X01022,Accident,2008-05-27,"Mt. Olive, AL",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Instructional,"Heliflight, LLC.",0.0,1.0,0.0,1.0,VMC,,The flight instructor's inadequate remedial action following an encounter with ground resonance.,2008.0
20080603X00779,Accident,2008-05-29,"Grand Rapids, MI",United States,Non-Fatal,Destroyed,Helicopter,SIKORSKY,S-76A,No,2.0,Turbo Shaft,091,,Instructional,Aero Med Spectrum Health,0.0,0.0,2.0,0.0,VMC,,The pilot's failure to maintain tail rotor obstacle clearance from a tower during takeoff.,2008.0
20080610X00823,Accident,2008-05-29,"Panama City, Panama",Panama,Fatal,Destroyed,Helicopter,BELL,UH-1N,No,,,NUSN,,,Servicio Aereo Nacional,11.0,0.0,1.0,0.0,VMC,,,2008.0
20080703X00976,Accident,2008-05-29,"Reno, NV",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C-1,No,1.0,Reciprocating,091,,Instructional,Bristow Academy,0.0,1.0,0.0,1.0,VMC,,The student pilot's failure to maintain translational lift airspeed while approaching the pinnacle and the certificated flight instructor's delayed remedial action and inadequate supervision of the flight.,2008.0
20080612X00843,Accident,2008-05-31,"Pottsville, PA",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER DEUTSCHLAND,EC 135 P2+,No,2.0,Turbo Shaft,091,NSCH,Positioning,Air Methods Corporation,0.0,3.0,0.0,0.0,VMC,,The pilots failure to ensure that both engine switches were in the FLIGHT position for takeoff.,2008.0
20080613X00863,Accident,2008-05-31,"Salt Lake City, UT",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,1.0,Reciprocating,091,,Instructional,Upper Limit Aviation,0.0,0.0,0.0,2.0,VMC,,"The student's improper use of the anti torque pedals during a practice hover autorotation, which resulted in the helicopter rolling over. Additional causes of the accident were the certificated flight instructor's inadequate supervision of the maneuver and delayed remedial action.",2008.0
20080606X00801,Accident,2008-06-01,"Torino, Italy",Italy,Non-Fatal,Substantial,Helicopter,SIKORSKY,S-64F,No,,,091,,Other Work Use,Erickson Air-Crane Inc,0.0,2.0,0.0,0.0,VMC,,,2008.0
20080627X00928,Accident,2008-06-01,"Carrollton, OH",United States,Non-Fatal,Substantial,Helicopter,BELL,47D1,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The airframe vibration for an undetermined reason.,2008.0
20080627X00938,Accident,2008-06-02,"Ogden, UT",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,300C,No,1.0,Reciprocating,091,,Instructional,"High Desert Helicopters, LLC",0.0,0.0,1.0,1.0,VMC,,"The pilot under instruction's encounter with a settling with power condition, and the flight instructor's failure to maintain adequate rotor rpm during the subsequent go-around.  Also causal was the instructor pilot's delayed remedial action during the approach sequence and his inadequate supervision of the flight.
",2008.0
20080613X00858,Accident,2008-06-08,"Huntsville, TX",United States,Fatal,Destroyed,Helicopter,BELL,407,No,1.0,Turbo Shaft,135,NSCH,,,4.0,0.0,0.0,0.0,VMC,,"The pilot's failure to identify and arrest the helicopter's descent, which resulted in its impact with terrain. Contributing to the accident was the limited outside visual reference due to the dark night conditions.",2008.0
20080821X01273,Accident,2008-06-08,"Philadelphia, PA",United States,Non-Fatal,Substantial,Helicopter,BELL,206L-4,No,1.0,Turbo Shaft,091,,Public Aircraft,,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain aircraft control during hover, which resulted in an inadvertent impact with the ground.",2008.0
20080710X01010,Accident,2008-06-13,"Cedar Valley, UT",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Air Race show,AMW Aerospace LLC,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain terrain clearance while maneuvering. A contributing factor was the high density altitude.,2008.0
20080709X00997,Accident,2008-06-14,"Missoula, MT",United States,Non-Fatal,Destroyed,Helicopter,ROBINSON,R44 II,No,1.0,Reciprocating,091,,Instructional,Mission Mountain Helicopters,0.0,2.0,0.0,0.0,VMC,,"The student's inadvertent control interference, which the flight instructor was unable to overcome. A contributing factor was the instructor's poor crew coordination in his failure to verbally command the student to relinquish the controls and his inadequate supervision of the flight.",2008.0
20080618X00881,Accident,2008-06-15,"Topanga, CA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44 II,No,1.0,Reciprocating,091,,Other Work Use,Air & Land Ventures Inc.,0.0,3.0,0.0,0.0,VMC,,"The in-flight separation of the tail rotor gear box for an undetermined reason. Contributing to the accident was the hilly terrain, which was unsuitable for a forced landing.",2008.0
20080630X00948,Accident,2008-06-15,"Cook, MN",United States,Non-Fatal,Substantial,Helicopter,HUGHES,269B,No,1.0,Reciprocating,091,,Other Work Use,,0.0,1.0,0.0,2.0,VMC,,The pilot not maintaining tail rotor effectiveness while turning in cruise.,2008.0
20080710X01011,Accident,2008-06-17,"Philomath, OR",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R-22 BETA,No,1.0,Reciprocating,091,,Instructional,,0.0,2.0,0.0,0.0,VMC,,The student pilot's failure to maintain rotor rpm during a pinnacle approach and the flight instructor's delayed remedial action and inadequate supervision of the flight. Contributing to the accident was the downdraft weather condition.,2008.0
20080708X00990,Accident,2008-06-23,"Fresno, CA",United States,Non-Fatal,Substantial,Helicopter,"ARROW FALCON EXPORTERS, INC.",OH-58C,No,1.0,Turbo Shaft,137,,Aerial Application,Double Tree Helicopters,0.0,0.0,0.0,1.0,VMC,,The loss of engine power due to fatigue failure of a second stage compressor blade.,2008.0
20080630X00954,Accident,2008-06-23,"Chickaloon, AK",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,AS-350 BA,No,1.0,Turbo Shaft,133,,External Load,Last Frontier Air Ventures Ltd.,0.0,0.0,0.0,2.0,VMC,,"The pilot's incorrect actions during an out-of ground-effect hover, which resulted in the helicopter entering a main rotor ring vortex state, and a settling with power condition, producing an excessive descent rate and collision with terrain.",2008.0
20080630X00952,Accident,2008-06-24,"MARINETTE, WI",United States,Non-Fatal,Substantial,Helicopter,ENSTROM HELICOPTER CORP,480B,No,1.0,Turbo Shaft,091,,Flight Test,ENSTROM HELICOPTER CORPORATION,0.0,0.0,0.0,2.0,VMC,,"The pilot inadvertently operating the helicopter at a gross weight greater than its maximum allowable operating weight, and flying the helicopter at an airspeed greater than the never-to-exceed speed for the helicopters gross weight condition, resulting in structural damage to the tailcone.",2008.0
